module    模块
exports    导出
require    导入、引入、需要
startsWith       开始前缀（以***开始）
endsWith        结束后缀（以***结束）
padStart          填充开头
padEnd            填充结尾
each    每一个
total    总共
list       列表
copy    复制
paste   粘贴
path    路径
join      合并、加入
separate     分割、分开
basename  基本名称、文件名
dirname     目录名称
extname     文件扩展名
filesystem   文件系统
readFile       读取文件
writeFile       写入文件
appendFile   追加文件
readdir         获取指定目录下所有文件名
directory       目录、文件夹
Reference      引用
declaration    定义
Syntax          语法
initializer      初始化（缩写 init）
