global     全局
package  包，包裹
version    版本
main       主要的，入口
description     描述
keywords        关键字
maintainer    维护者
contributor   贡献者
bug        问题
license    许可证，执照
repository   仓储
dependencies   依赖项
developer    开发者
devDependencies   开发依赖项
add    添加，加法
subtract  减法
multiply  乘法
divide      除法
calculator   计算器（calc）
createServer   创建服务器
request      请求
response    响应
template    模板
engine        引擎
template engine  模板引擎
Install       安装
uninstall   卸载
provide      提供
fields         字段
Usage        使用方式
command  命令
